"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://jigsawnation.com/in/en/","0","","0","0","Indexable",""
"https://jigsawnation.com/in/en/legal/shipping/","1","Jigsaw Nation the best place to buy jigsaw puzzles online. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","224","1358","Indexable",""
"https://jigsawnation.com/in/en/products/cotton-candy-skies/","1","Soumyaraj is an illustrator who loves to draw flora and fauna. Her art celebrates those&nbsp;slower-paced days when we can forget our troubles and enjoy the simple things. She brings out the&nbsp;magic of nature and encourages you to notice the colours and patterns around us. This piece draws&nbsp;inspiration from the quiet, everyday life of a small village in Kerala. Candy coloured skies with a&nbsp;playful flourish, uplift the overall mood, almost feeling like a daydream. With her special love for&nbsp;incorporating local flowers and animals, it captures the gentle rhythm of village life. Can you spot the&nbsp;sleek cat in the artwork?. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","812","4709","Indexable",""
"https://jigsawnation.com/in/en/legal/returns/","1","Jigsaw Nation the best place to buy jigsaw puzzles online. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","224","1358","Indexable",""
"https://jigsawnation.com/in/en/products/bubble-quack/","1","From a single duck doodle in 2017, Murtaza's ""Quack"" evolved into a phenomenon. Pune-based artist draws inspiration from everyday life, infusing bold colors and humor to provoke thought and spread joy. Dive into his vibrant world with our colorful circular duck puzzle.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","436","2660","Indexable",""
"https://jigsawnation.com/in/en/products/market-woman-cat/","1","Transporting you to the heart of an Indian marketplace, Chaaya Prabhat's illustrations capture the essence of daily life with fantastical colors. From the mundane to the marvelous, experience the universal charm that resonates with every age group.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","415","2532","Indexable",""
"https://jigsawnation.com/in/en/products/chirps-of-india/","1","Annada Menon's artwork celebrates India's diverse birds with vibrant colors and intricate details, capturing the beauty and essence of each bird in a mesmerizing display of artistry.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","349","2107","Indexable",""
"https://jigsawnation.com/in/en/products/disco-dots/","1","Piece together this vibrant, dot-inspired puzzle for a serene experience. Each circle and color uplifts your soul, bringing tranquility to your mind as you create a masterpiece of harmony.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","355","2129","Indexable",""
"https://jigsawnation.com/in/en/products/cubicle-cascade/","1","Dive into the world of a 3D geometric gradient puzzle—a bold challenge for the daring. Embrace the thrill as you tackle each shape, experiencing the joy of accomplishment and feeling fantastic.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","360","2183","Indexable",""
"https://jigsawnation.com/in/en/products/kite-market/","1","Explore a scene from a kite market through Chaaya Prabhat's whimsical art. Inspired by daily life, her illustrations blend fantasy with reality, capturing the magic in mundane moments and inviting all ages to embark on imaginative journeys.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","407","2471","Indexable",""
"https://jigsawnation.com/in/en/about-us/","1","Jigsaw Nation the best place to buy jigsaw puzzles online. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","224","1358","Indexable",""
"https://jigsawnation.com/in/en/products/fruit-seller/","1","Explore Macau through the eyes of Mario Miranda in our puzzle inspired by his iconic drawing, ""The Fruit Seller."" Delve into the charm of this vibrant city as you piece together scenes that reflect Mario's love for Macau and his delightful encounters with its people.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","434","2603","Indexable",""
"https://jigsawnation.com/in/en/custom-puzzle/","0","","0","0","Indexable",""
"https://jigsawnation.com/in/en/products/george-pompidou-centre/","1","Embark on a colorful journey through Paris with our puzzle inspired by Mario Miranda's vibrant sketches. Capturing the essence of everyday life, Mario's artistry comes alive as he portrays the lively George Pompidou Centre and its bustling surroundings.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","420","2554","Indexable",""
"https://jigsawnation.com/in/en/products/bustling-broadway/","1","Experience Mario Miranda's wit in our New York-inspired puzzle. Dive into the vibrant streets he sketched in 1985, from bustling Broadway to eclectic neighborhoods like Little Italy and Little India. Discover the essence of his artistry in this homage to the legendary Goan cartoonist.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","452","2720","Indexable",""
"https://jigsawnation.com/in/en/products/chomped-to-pieces/","1","Bored Game Company started in 2018, aiming to bring the lost joy of board games to tabletops all around India. After years of making board games a part of people's lives, the next mission was jigsaw puzzles, which gave birth to...Jigsaw Nation. This colorful puzzle is inspired by the art of our sister brand Bored Game Company’s first original card game, GRAB THAT DINO! A fast-paced, prehistoric pattern-matching game that gets everyone competing and laughing. Now, the chaos of dinos, comets, and erupting lava has leapt into a jigsaw puzzle! Some might say it's the best of both worlds, and once you’re done... go GRAB THAT DINO. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","799","4933","Indexable",""
"https://jigsawnation.com/in/en/products/endangered-circle-of-life/","1","In ""Endangered Circle of Life,"" Annada Menon depicts a balance between humanity and nature. A woman swims amidst majestic tigers, embodying the beauty and fragility of our interconnected world. Her vibrant palette mesmerizes and provokes contemplation.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","419","2608","Indexable",""
"https://jigsawnation.com/in/en/products/chromatic-waves/","1","A plethora of vibrant colors makes this puzzle a standout piece for your living room. But beyond its aesthetic appeal lies a challenging adventure waiting to be solved.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","335","2019","Indexable",""
"https://jigsawnation.com/in/en/products/eight-seasons/","1","Dive into a playful tapestry of colors and patterns. Solve it in pieces or as a whole for a fun-filled experience like never before. Let the vibrant colours and funky designs ignite your imagination and bring joy to your day.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","392","2328","Indexable",""
"https://jigsawnation.com/in/en/products/all-the-quacks/","1","From a single duck doodle in 2017, Murtaza's ""Quack"" evolved into a phenomenon. Pune-based artist draws inspiration from everyday life, infusing bold colors and humor to provoke thought and spread joy.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","368","2265","Indexable",""
"https://jigsawnation.com/in/en/products/golden-dream/","1","A published illustrator, Annada Menon, is on a quest to infuse humor into the beauty surrounding her. Although she is known for her children’s book illustrations, Annada finds solace in drawing animals and lush greenery. This illustration is an invitation to feel light, like you are floating and watching the world swim by. A dreamy underwater landscape, the perfect escape for when you need to step away from reality for a few minutes. Each piece of the puzzle is a building block to creating your own little fantastical, peaceful haven.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","706","4260","Indexable",""
"https://jigsawnation.com/in/en/legal/privacy/","1","Jigsaw Nation the best place to buy jigsaw puzzles online. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","224","1358","Indexable",""
"https://jigsawnation.com/in/en/products/rang-rachna-a-holi-puzzle/","1","A limited Holi edition puzzle designed to honor the spirit of color and celebration. Piece by peace assemble the mandala of hues inspired by traditional rangolis. Straight from the JSN Studio, this puzzle is crafted to escape into color and creativity. Each piece is a splash of colour bursting and blending in the air. This puzzle also comes with special refreshing little recipe straight from our cookbooks.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","576","3439","Indexable",""
"https://jigsawnation.com/in/en/products/squiggle-party/","1","Who said squiggles don't party? For those who adore gradients, squiggles, and a good time, this puzzle promises a unique challenge and a sense of tranquility once completed.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","340","2078","Indexable",""
"https://jigsawnation.com/in/en/products/good-ol-days-4-in-1/","1","Annada Menon is an illustrator on a quest to infuse humor into beauty. Known for her children’s books, she finds solace in drawing animals and lush greenery, always creating a sense of warmth and coziness. This set of puzzles is a time capsule of simple joys. It’s a reminder of plucking mangoes on hot summer days, marveling at fluffy cotton candy at a mela (carnival), and save-up pocket money for a favorite sweet shop. From the thrill of train travel to the moving shop of snacks and comics outside your window, these pieces invite you to cherish the tiny moments that stay with us forever.. Buy the best puzzles 100 piece, 500 piece, 1000 piece jigsaw puzzles for kids and adults. Shipping to all cities in India including Mumbai, Pune, Bangalore, Chennai!","761","4650","Indexable",""
